track id,genre,number_of_observations,amazement,var_amazement,solemnity,var_solemnity,tenderness,var_tenderness,nostalgia,var_nostalgia,calmness,var_calmness,power,var_power,joyful_activation,var_joyful_activation,tension,var_tension,sadness,var_sadness,mood,var_mood,liked,var_liked,disliked,var_disliked,age,var_age,gender,var_gender
1,classical,48,0.14583333333333334,0.12721631205673758,0.3333333333333333,0.22695035460992907,0.20833333333333334,0.1684397163120567,0.2916666666666667,0.21099290780141838,0.625,0.2393617021276596,0.020833333333333332,0.02083333333333333,0.08333333333333333,0.07801418439716315,0.0625,0.0598404255319149,0.3125,0.21941489361702127,3.4375,0.8470744680851066,0.3958333333333333,0.2442375886524823,0.16666666666666666,0.1418439716312057,35.833333333333336,199.29078014184404,0.3958333333333333,0.24423758865248218
2,classical,47,0.10638297872340426,0.09713228492136909,0.1702127659574468,0.1443108233117484,0.425531914893617,0.2497687326549492,0.3404255319148936,0.22941720629047174,0.7446808510638298,0.19426456984273816,0.0425531914893617,0.041628122109158186,0.02127659574468085,0.021276595744680844,0.02127659574468085,0.021276595744680847,0.10638297872340426,0.09713228492136912,3.595744680851064,0.854764107308048,0.5531914893617021,0.25254394079555975,0.0851063829787234,0.07955596669750231,35.680851063829785,163.96114708603145,0.46808510638297873,0.2543940795559667
3,classical,46,0.17391304347826086,0.14685990338164248,0.34782608695652173,0.23188405797101458,0.13043478260869565,0.11594202898550726,0.17391304347826086,0.14685990338164248,0.06521739130434782,0.062318840579710134,0.2826086956521739,0.20724637681159422,0.41304347826086957,0.24782608695652175,0.2391304347826087,0.18599033816425117,0.15217391304347827,0.1318840579710145,3.739130434782609,0.6415458937198067,0.43478260869565216,0.2512077294685991,0.15217391304347827,0.1318840579710145,35.52173913043478,181.4106280193237,0.5217391304347826,0.2550724637681159
4,classical,42,0.11904761904761904,0.10743321718931476,0.14285714285714285,0.1254355400696864,0.5238095238095238,0.2555168408826946,0.4523809523809524,0.25377468060394887,0.7619047619047619,0.18583042973286878,0.023809523809523808,0.023809523809523805,0.0,0.0,0.023809523809523808,0.023809523809523798,0.14285714285714285,0.12543554006968644,3.761904761904762,0.8199767711962831,0.42857142857142855,0.25087108013937276,0.09523809523809523,0.08826945412311266,36.07142857142857,134.26306620209053,0.5714285714285714,0.25087108013937287
5,classical,44,0.045454545454545456,0.04439746300211416,0.29545454545454547,0.2130021141649048,0.3181818181818182,0.22198731501057078,0.5227272727272727,0.25528541226215645,0.3181818181818182,0.22198731501057078,0.045454545454545456,0.04439746300211416,0.06818181818181818,0.0650105708245243,0.18181818181818182,0.1522198731501057,0.3181818181818182,0.2219873150105708,3.840909090909091,0.8810782241014802,0.6136363636363636,0.242600422832981,0.06818181818181818,0.0650105708245243,35.86363636363637,105.6088794926004,0.5454545454545454,0.25369978858350956
6,classical,47,0.10638297872340426,0.09713228492136912,0.2127659574468085,0.17113783533765028,0.2127659574468085,0.17113783533765028,0.2978723404255319,0.21369102682701194,0.5531914893617021,0.2525439407955597,0.06382978723404255,0.06105457909343202,0.23404255319148937,0.18316373728029606,0.1276595744680851,0.11378353376503238,0.1276595744680851,0.11378353376503238,3.74468085106383,1.0203515263644776,0.40425531914893614,0.2460684551341351,0.19148936170212766,0.15818686401480114,35.680851063829785,134.48288621646617,0.5319148936170213,0.25439407955596666
7,classical,47,0.3404255319148936,0.2294172062904718,0.0851063829787234,0.07955596669750231,0.14893617021276595,0.12950971322849217,0.0851063829787234,0.07955596669750231,0.10638297872340426,0.09713228492136913,0.2127659574468085,0.17113783533765034,0.8085106382978723,0.15818686401480112,0.14893617021276595,0.1295097132284922,0.02127659574468085,0.021276595744680844,3.6595744680851063,0.7946345975948198,0.574468085106383,0.24976873265494912,0.0851063829787234,0.07955596669750231,35.93617021276596,169.53931544865864,0.48936170212765956,0.25531914893617025
8,classical,46,0.08695652173913043,0.08115942028985507,0.2826086956521739,0.2072463768115942,0.32608695652173914,0.22463768115942026,0.30434782608695654,0.2164251207729468,0.4782608695652174,0.25507246376811593,0.043478260869565216,0.042512077294685986,0.1956521739130435,0.1608695652173913,0.15217391304347827,0.1318840579710145,0.15217391304347827,0.13188405797101452,3.5652173913043477,0.7845410628019325,0.43478260869565216,0.25120772946859904,0.17391304347826086,0.14685990338164254,38.15217391304348,205.1985507246377,0.4782608695652174,0.2550724637681159
9,classical,44,0.11363636363636363,0.10306553911205076,0.2727272727272727,0.20295983086680763,0.3181818181818182,0.22198731501057073,0.4090909090909091,0.24735729386892177,0.4772727272727273,0.25528541226215645,0.045454545454545456,0.044397463002114154,0.06818181818181818,0.06501057082452433,0.022727272727272728,0.02272727272727272,0.36363636363636365,0.23678646934460884,3.5,0.7674418604651164,0.5,0.2558139534883721,0.18181818181818182,0.1522198731501057,38.72727272727273,197.27272727272717,0.5227272727272727,0.2552854122621565
10,classical,47,0.2765957446808511,0.20444033302497686,0.2127659574468085,0.1711378353376503,0.02127659574468085,0.02127659574468084,0.0425531914893617,0.04162812210915819,0.02127659574468085,0.021276595744680847,0.5106382978723404,0.2553191489361702,0.6382978723404256,0.23589269195189635,0.2127659574468085,0.17113783533765028,0.02127659574468085,0.02127659574468084,3.6808510638297873,0.5263644773358002,0.46808510638297873,0.25439407955596666,0.14893617021276595,0.12950971322849214,37.5531914893617,146.46993524514335,0.5531914893617021,0.25254394079555975
