track id,genre,number_of_observations,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,mood,liked,disliked,age,gender
1,classical,48,0.08982035928143713,0.2335329341317365,0.13173652694610777,0.26347305389221554,0.6227544910179641,0.011976047904191616,0.05389221556886228,0.03592814371257485,0.24550898203592814,3.4375,0.3958333333333333,0.16666666666666666,35.833333333333336,0.3958333333333333
2,classical,47,0.06818181818181818,0.10227272727272727,0.35795454545454547,0.23863636363636362,0.7045454545454546,0.03409090909090909,0.011363636363636364,0.017045454545454544,0.06818181818181818,3.595744680851064,0.5531914893617021,0.0851063829787234,35.680851063829785,0.46808510638297873
3,classical,46,0.10059171597633136,0.3254437869822485,0.08875739644970415,0.11834319526627218,0.04142011834319527,0.24852071005917165,0.3727810650887574,0.23076923076923078,0.10650887573964497,3.739130434782609,0.43478260869565216,0.15217391304347827,35.52173913043478,0.5217391304347826
4,classical,42,0.07857142857142857,0.12857142857142856,0.37857142857142856,0.3857142857142857,0.6642857142857144,0.014285714285714285,0.0,0.04285714285714286,0.10714285714285714,3.761904761904762,0.42857142857142855,0.09523809523809523,36.07142857142857,0.5714285714285714
5,classical,44,0.07947019867549668,0.2450331125827814,0.22516556291390727,0.41059602649006616,0.28476821192052976,0.03311258278145694,0.04635761589403973,0.1390728476821192,0.28476821192052976,3.840909090909091,0.6136363636363636,0.06818181818181818,35.86363636363637,0.5454545454545454
6,classical,47,0.08,0.17714285714285719,0.12571428571428572,0.26857142857142857,0.5314285714285715,0.04,0.13714285714285715,0.13142857142857142,0.08571428571428573,3.74468085106383,0.40425531914893614,0.19148936170212766,35.680851063829785,0.5319148936170213
7,classical,47,0.27647058823529413,0.052941176470588235,0.09411764705882353,0.07647058823529412,0.06470588235294118,0.17058823529411765,0.7764705882352941,0.1,0.011764705882352941,3.6595744680851063,0.574468085106383,0.0851063829787234,35.93617021276596,0.48936170212765956
8,classical,46,0.07339449541284404,0.22018348623853212,0.26605504587155965,0.24464831804281342,0.40672782874617736,0.021406727828746176,0.13149847094801223,0.14067278287461774,0.11009174311926606,3.5652173913043477,0.43478260869565216,0.17391304347826086,38.15217391304348,0.4782608695652174
9,classical,44,0.06622516556291388,0.2582781456953642,0.20529801324503308,0.37748344370860926,0.4172185430463576,0.02649006622516556,0.03973509933774834,0.01324503311258278,0.304635761589404,3.5,0.5,0.18181818181818182,38.72727272727273,0.5227272727272727
10,classical,47,0.20338983050847456,0.1581920903954802,0.011299435028248588,0.028248587570621465,0.011299435028248588,0.48587570621468923,0.48022598870056493,0.19774011299435026,0.01694915254237288,3.6808510638297873,0.46808510638297873,0.14893617021276595,37.5531914893617,0.5531914893617021
